ID;City;Country;Longitude;Latitude
320;Sao Paulo;Brazil;-46.58;-23.55
321;Sapporo;Japan;141.38;43.06
322;Sarajevo;Bosnia and Herzegovina;18.42;43.87
323;Saskatoon, SK;Canada;-106.36;52.09
324;Savannah, GA;USA;-81.1;32.08
325;Seattle, WA;USA;-122.33;47.6
326;Sendai;Japan;140.91;38.25
327;Seoul;Korea;126.97;37.56
328;Sevilla;Spain;-5.99;37.38
329;Shanghai;China;121.47;31.22
330;Shreveport, LA;USA;-93.74;32.5
331;Simi Valley, CA;USA;-118.79;34.27
332;Singapore;Singapore;103.84;1.28
333;Sioux Falls, SD;USA;-96.7;43.55
334;Sofia;Bulgaria;23.33;42.71
335;South Bend, IN;USA;-86.25;41.68
336;Spokane, WA;USA;-117.42;47.65
337;Springfield, IL;USA;-89.64;39.8
338;Springfield, MA;USA;-72.59;42.1
339;Springfield, MO;USA;-93.29;37.21
340;Sri Jayawardenepura;Sri Lanka;79.91;6.89
341;St. Catharines, ON;Canada;-79.14;43.11
342;St. John-s, NF;Canada;-52.42;47.04
343;St. Petersburg;Russia;30.29;59.93
344;St. Petersburg, FL;USA;-82.67;27.77
345;Stockholm;Sweden;18.03;59.29
346;Stockton, CA;USA;-121.28;37.95
347;Strasbourg;France;7.77;48.58
348;Stuttgart;Germany;9.18;48.78
349;Sucre;Bolivia;-65.26;-19.04
350;Sunnyvale, CA;USA;-122.02;37.37
351;Suva;Fiji Islands;178.46;-18.13
352;Sydney, NSW;Australia;151.12;-33.96
353;Syracuse, NY;USA;-76.14;43.04
354;Taejon;Korea;127.43;36.33
355;Taipei;Taiwan;121.5;25.03
356;Tallinn;Estonia;24.75;59.42
357;Tampa, FL;USA;-82.45;27.94
358;Taranto;Italy;17.21;40.5
359;Tegucigalpa;Honduras;-87.21;14.09
360;Tehran;Iran;51.41;35.68
361;Tel Aviv;Israel;34.76;32.07
362;The Hague;Netherlands;4.32;52.09
363;Thimphu;Bhutan;89.67;27.45
364;Thunder Bay, ON;Canada;-89.12;48.27
365;Tirana;Albania;19.83;41.33
366;Tokyo;Japan;139.76;35.67
367;Toledo, OH;USA;-83.55;41.66
368;Torino;Italy;7.68;45.07
369;Toronto, ON;Canada;-79.4;43.66
370;Torrance, CA;USA;-118.33;33.83
371;Toulouse;France;1.43;43.6
372;Tripoli;Libya;13.2;32.89
373;Tucson, AZ;USA;-110.92;32.22
374;Tulsa, OK;USA;-95.99;36.15
375;Tunis;Tunisia;10.18;36.81
376;Ulaanbaatar;Mongolia;106.91;47.93
377;Urumqi;China;87.59;43.79
378;Vaduz;Liechtenstein;9.54;47.13
379;Valencia;Spain;-0.36;39.47
380;Valletta;Malta;14.52;35.9
